compound_key,uniprot,lig,pdb_ids,best_pdb
q07869_rew,Q07869,rew,1I7G;2REW;2ZNN,1I7G
q07869_s44,Q07869,s44,1I7G;2REW;2ZNN,1I7G
q07889_aww,Q07889,aww,5OVH;5OVI;7UKS,5OVH
q07889_axh,Q07889,axh,5OVH;5OVI;7UKS,5OVH
q07889_nl0,Q07889,nl0,5OVH;5OVI;7UKS,5OVH
q13451_5bh,Q13451,5bh,5BXJ;5DIV;5OBK,5BXJ
q13451_9qn,Q13451,9qn,5BXJ;5DIV;5OBK,5BXJ
q13451_i63,Q13451,i63,4DRK,4DRK
q13451_npo,Q13451,npo,5BXJ;5DIV;5OBK,5BXJ
q13526_kdh,Q13526,kdh,3OOB,3OOB
q14116_cps,Q14116,cps,3WO2,3WO2
q15047_6s4,Q15047,6s4,5KE2,5KE2
q15109_ior,Q15109,ior,2MOV,2MOV
q16539_19b,Q16539,19b,3BV2;3D83;3E93,3BV2
q16539_3nw,Q16539,3nw,2GFS;2ZAZ;3NWW,2GFS
q16539_gk1,Q16539,gk1,2GFS;2ZAZ;3NWW,2GFS
q16539_gk6,Q16539,gk6,3BV2;3D83;3E93,3BV2
q16539_p38,Q16539,p38,3BV2;3D83;3E93,3BV2
q16539_pqb,Q16539,pqb,2GFS;2ZAZ;3NWW,2GFS
q16552_u5i,Q16552,u5i,8DYF;8DYI,8DYF
q16552_u6c,Q16552,u6c,8DYF;8DYI,8DYF
q29460_sgb,Q29460,sgb,3DT8,3DT8
q3tdn0_av0,Q3TDN0,av0,7RPH;7RPI,7RPH
q46220_nai,Q46220,nai,1GIQ;1GIR,1GIQ
q46220_ndp,Q46220,ndp,1GIQ;1GIR,1GIQ
q5zxn6_c5p,Q5ZXN6,c5p,4BER;4BES;4BET,4BER
q5zxn6_cdc,Q5ZXN6,cdc,4BER;4BES;4BET,4BER
q5zxn6_pc,Q5ZXN6,pc,4BER;4BES;4BET,4BER
q61091_n6w,Q61091,n6w,6TFB,6TFB
q6mht0_tau,Q6MHT0,tau,3V39,3V39
q6pl18_bqq,Q6PL18,bqq,5QXQ;6EPT,5QXQ
q6pl18_rhv,Q6PL18,rhv,5QXQ;6EPT,5QXQ
q8wts6_sah,Q8WTS6,sah,1MT6;1N6C;5AYF,1MT6
q8wts6_sam,Q8WTS6,sam,1MT6;1N6C;5AYF,1MT6
q8wts6_sfg,Q8WTS6,sfg,1MT6;1N6C;5AYF,1MT6
q96ri1_33y,Q96RI1,33y,3FLI;3L1B;4OIV,3FLI
q96ri1_635,Q96RI1,635,3FLI;3L1B;4OIV,3FLI
q96ri1_xx9,Q96RI1,xx9,3FLI;3L1B;4OIV,3FLI
q96sb4_3ul,Q96SB4,3ul,4WUA;5XV7;7ZKS,4WUA
q96sb4_emh,Q96SB4,emh,4WUA;5XV7;7ZKS,4WUA
q96sb4_ixq,Q96SB4,ixq,4WUA;5XV7;7ZKS,4WUA
q980a5_5gp,Q980A5,5gp,3I1F;3PEN;4M53,3I1F
q980a5_gcp,Q980A5,gcp,3I1F;3PEN;4M53,3I1F
q99816_4n1,Q99816,4n1,5VKG,5VKG
q9brq0_94w,Q9BRQ0,94w,4UP5,4UP5
q9bva6_apc,Q9BVA6,apc,4U0Z,4U0Z
q9gzt9_014,Q9GZT9,014,2HBT;3OUH;3OUI,2HBT
q9gzt9_42z,Q9GZT9,42z,2HBT;3OUH;3OUI,2HBT
q9gzt9_un9,Q9GZT9,un9,2HBT;3OUH;3OUI,2HBT
q9h7b4_sah,Q9H7B4,sah,3OXG;3PDN;7QA6,3OXG
q9h7b4_sam,Q9H7B4,sam,3OXG;3PDN;7QA6;7O2C,3OXG
q9h7b4_sfg,Q9H7B4,sfg,3OXG;3PDN;7QA6,3OXG
q9hkt1_amp,Q9HKT1,amp,2ART;2C8M,2ART
q9hkt1_lpa,Q9HKT1,lpa,2ART;2C8M,2ART
q9hvi1_c2e,Q9HVI1,c2e,2L74,2L74
q9n6s8_jv1,Q9N6S8,jv1,6SSZ,6SSZ
q9nr48_sam,Q9NR48,sam,3OPE;4YNP;6WZW,3OPE
q9nrg4_sah,Q9NRG4,sah,3S7B;3S7J;5ARF,3S7B
q9nrg4_sam,Q9NRG4,sam,3S7B;3S7J;5ARF,3S7B
q9nwt6_ndf,Q9NWT6,ndf,1YCI,1YCI
q9nzq7_6gz,Q9NZQ7,6gz,5J8O;6NOJ;7DY7,5J8O
q9nzq7_hou,Q9NZQ7,hou,5J8O;6NOJ;7DY7,5J8O
q9nzq7_kw7,Q9NZQ7,kw7,5J8O;6NOJ;7DY7,5J8O
q9p289_59t,Q9P289,59t,7B36,7B36
q9qzl0_1fn,Q9QZL0,1fn,6OKO,6OKO
q9ubp6_sah,Q9UBP6,sah,8D59;8D5B,8D59
q9ubp6_sam,Q9UBP6,sam,8D59;8D5B,8D59
q9ugn5_uhb,Q9UGN5,uhb,5DSY,5DSY
q9y572_zov,Q9Y572,zov,7MX3,7MX3
q9y657_2od,Q9Y657,2od,5JSG;5JSJ;6I8Y,5JSG
q9y657_6p9,Q9Y657,6p9,5JSG;5JSJ;6I8Y,5JSG
q9y657_6pd,Q9Y657,6pd,5JSG;5JSJ;6I8Y,5JSG
